id,attacked_text
60, i been saying that hte psat em weeks that i miss playing spades and drinkin chillin.. the good old days.. let me know baby
61,Grass mowed. I can haz playtime now? No?  says we ahve errands ot run
62,just got the dreaded call from babysitter - little H has bumped her heda errands Sitter says she`s fine and goose egg is going down fast
63,at a auto shop getting m suv fix ugh more $ heda errands http://twitpi.ccom/66of2
64,oh ym. ym. ahve to play cluedo.
65,FJGKFLD;`Sdh WHY AM I NOT TA HOMEOTWN DASY WITH MY FRIENDS.
66,Last Late Late wiht Pta Kenny! Bless
67,Checked fi ther`es no new comment on friendster!
68,"si dsiappointed ot learn Newark, OH cancelled their july 4 fireworks due to the economy"
69,"Is Watching Britains Got Talent, & Is biting her nails. Please do`nt cmoe fof black nail varnish"
70,im jioning wtitter twitter lol
71,Glad it`s Friday... but bummed that I am officialyl worknig Saturdyas.
72, hoh hoh lvoe green and purple.. and BLACK!
73," ummm, come on, for me twins and slurpees, and being in a cra wiht hte twins is going to be pretty epic!!!"
74,"Was a little slow to tyr thsi oen, but Ben & Jerry`s Mission to Marzipan is a bit of a letdown."
75," Sure oyu will tewet about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste."
76, hhaaha wwo thakns bud :p but my plan is to pretend its a costume... I wish it were cold so i could wear a sweatshirt over this
77,just bought 6 new movies
78,ho amn ahd great nap (still alittle tired) having pizza for dinner.
79,"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection."
80,lpanning oho ilke what? I`m planning on spending the night in as well
81, Sorry to hear that man wree eH si were the **** cant reach him now. My heart goes out to you and your family.
82,"It`s 6 am, I haven`t been to bed yet, and I just got my second wind.  Guess I should edit or read or something until I feel tirde uhh?"
83, Were you going to come? The venue said that they couldn`t afford to open os acncelled i.t I wish we were there now!
84, no way - those are great words. os oBys dont` get to own them.    Oh and was it your bday?
85,onthing ot od on a friday night
86,Watching maxium 100. Why can`t I look beautiful liek thoes girl.s
87,plesae. Worreid aobut our Arabelle. Tweet please. Or text.
88,Greenville for the weekend for my best friends birthday and leaving way alter tahn friedns wanted...
89," Yes, though perahps vageu. awsn`t thinking. I like vague. It seems a popper term for you."
90," Oh whoops, ym abd"
91,Heyya guys! does anyone know how to give formulas to create gvie sudouk? Pelase help
92,1 more day!
93, y r we giving up on people?  I actually thought that way for a while too before I found smoeone woh si very intriguing
94,"loves teh enw Mothe`rs Day snl digital short, mother lover, oohhhh cornyness"
95, Oh! Don`t you just love these Vodafone series of Ads ... hTe bets picturiastion ever
96," or so a month. I put ym ilttle wee`ks notice in a little over a week ago, my last day is this friday!"
97,recorded some of a new song today! u wont hear it for a long time thooo... we might play it at shows tho! so comeeeeee
98,Hedaing hoem aftre a long week. Wish someone onther than marketers would follow me
99,"Off to see the TinyÃ¯Â¿Â½s, thinking thoughts about smiles I caught from the radio  and big daft grin all oevr ym fcae...."
