id,text,original_class,original_label
64,oh my. i have to play cluedo.,Negative,0
65,FJGKFLD;`Sdh WHY AM I NOT AT HOMETOWN DAYS WITH MY FRIENDS.,Neutral,1
66,Last Late Late with Pat Kenny! Bless,Positive,2
67,Checked if there`s a new comment on friendster!,Neutral,1
68,"is disappointed to learn Newark, OH cancelled their july 4 fireworks due to the economy",Negative,0
69,"Is Watching Britains Got Talent, & Is biting her nails. Please don`t come off black nail varnish",Negative,0
70,im joining twitter  lol,Neutral,1
71,Glad it`s Friday... but bummed that I am officially working Saturdays.,Positive,2
72, ohh i love green and purple.. and BLACK!,Positive,2
73," ummm, come on, for me twins and slurpees, and being in a car with the twins is going to be pretty epic!!!",Positive,2
74,"Was a little slow to try this one, but Ben & Jerry`s Mission to Marzipan is a bit of a letdown.",Negative,0
75," Sure you will tweet about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste.",Neutral,1
76, hahaha wow thanks bud :p but my plan is to pretend its a costume... I wish it were cold so i could wear a sweatshirt over this,Positive,2
77,just bought 6 new movies,Negative,0
78,oh man had great nap (still alittle tired) having pizza for dinner.,Positive,2
79,"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection.",Negative,0
80, ooh like what? I`m planning on spending the night in as well,Neutral,1
81, Sorry to hear that man  He is were the **** cant reach him now. My heart goes out to you and your family.,Negative,0
82,"It`s 6 am, I haven`t been to bed yet, and I just got my second wind.  Guess I should edit or read or something until I feel tired huh?",Negative,0
83, Were you going to come? The venue said that they couldn`t afford to open so cancelled it. I wish we were there now!,Neutral,1
84, no way - those are great words.  Boys don`t get to own them.    Oh and was it your bday?,Positive,2
85,nothing to do on a friday night,Negative,0
86,Watching maxium 100. Why can`t I look beautiful like those girls.,Neutral,1
87, Worried about our Arabelle. Tweet please. Or text.,Negative,0
88,Greenville for the weekend for my best friends birthday and leaving way later than i wanted...,Negative,0
89," Yes, though perhaps I wasn`t thinking. I like vague. It seems a popper term for you.",Neutral,1
90," Oh whoops, my bad",Negative,0
91,Heyya guys! does anyone know how to give formulas to create a sudoku? Please help,Neutral,1
92,1 more day!,Neutral,1
93, y r we giving up on people?  I actually thought that way for a while too before I found someone who is very intriguing,Positive,2
94,"loves the new Mother`s Day snl digital short, mother lover, oohhhh cornyness",Positive,2
95, Oh! Don`t you just love these Vodafone series of Ads ... The best picturisation ever,Positive,2
96," or so a month. I put my 2 week`s notice in a little over a week ago, my last day is this friday!",Negative,0
97,recorded some of a new song today! u wont hear it for a long time thooo... we might play it at shows tho! so comeeeeee,Negative,0
98,Heading home after a long week. Wish someone onther than marketers would follow me,Positive,2
99,"Off to see the TinyÃ¯Â¿Â½s, thinking thoughts about smiles I caught from the radio  and big daft grin all over my face....",Negative,0
